poicode,estimated_visit
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1040
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1166
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,580
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1446
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,577
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,563
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1384
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1477
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1193
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1186
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,969
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,953
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1348
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1125
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1232
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,747
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1245
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1270
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1107
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1846
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1011
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1164
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1087
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,1129
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,589
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,771
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,967
