h3index,district_code,wbi
89608b559b3ffff,IN.MH.MU,60.99634143
89608b568d7ffff,IN.MH.MU,64.45388201
89608b09467ffff,IN.MH.MU,73.33720026
89608b09607ffff,IN.MH.MU,74.58817393
89608b0b04bffff,IN.MH.MU,69.8283392
89608b0b1cbffff,IN.MH.MU,78.17394283
89608b44037ffff,IN.MH.MU,64.15210114
89608b44c57ffff,IN.MH.MU,44.83442951
89608b46453ffff,IN.MH.MU,55.80305612
89608b54d2fffff,IN.MH.MU,65.31578464
89608b56d67ffff,IN.MH.MU,74.88430227
89608b03073ffff,IN.MH.MU,71.67262103
89608b09473ffff,IN.MH.MU,73.03361012
89608b19127ffff,IN.MH.MU,38.84484656
89608b19353ffff,IN.MH.MU,54.77973267
89608b19397ffff,IN.MH.MU,41.4449188
89608b19eb3ffff,IN.MH.MU,43.74913807
89608b446d3ffff,IN.MH.MU,73.83699609
89608b450b3ffff,IN.MH.MU,64.37669274
89608b4605bffff,IN.MH.MU,69.9984235
89608b46227ffff,IN.MH.MU,76.39665744
89608b46317ffff,IN.MH.MU,73.17840307
89608b541c3ffff,IN.MH.MU,67.44665746
89608b54367ffff,IN.MH.MU,54.16082117
89608b54d0fffff,IN.MH.MU,65.91483659
89608b55173ffff,IN.MH.MU,71.14943447
89608b56903ffff,IN.MH.MU,75.20598409
89608b56d47ffff,IN.MH.MU,70.10178018
89608b0b197ffff,IN.MH.MU,68.16711612
89608b0b337ffff,IN.MH.MU,71.20017076
89608b19a4fffff,IN.MH.MU,68.10058
89608b19c6fffff,IN.MH.MU,40.85809517
89608b19e0bffff,IN.MH.MU,54.67448865
89608b440b3ffff,IN.MH.MU,68.7149475
89608b445b3ffff,IN.MH.MU,61.76826732
89608b461b7ffff,IN.MH.MU,75.03926582
89608b4639bffff,IN.MH.MU,69.19213224
89608b466cbffff,IN.MH.MU,53.68776104
89608b54527ffff,IN.MH.MU,59.86493742
89608b549a3ffff,IN.MH.MU,67.79528493
89608b54c8bffff,IN.MH.MU,68.97516841
89608b56867ffff,IN.MH.MU,72.80680318
89608b0b017ffff,IN.MH.MU,71.69494062
89608b1988bffff,IN.MH.MU,39.41795977
89608b44597ffff,IN.MH.MU,61.3124657
89608b445b7ffff,IN.MH.MU,62.26770584
89608b44607ffff,IN.MH.MU,66.19664344
89608b462cbffff,IN.MH.MU,60.9278198
89608b46673ffff,IN.MH.MU,63.24905798
89608b55183ffff,IN.MH.MU,59.86065007
89608b551abffff,IN.MH.MU,69.74282308
89608b569abffff,IN.MH.MU,77.84238385
89608b56b8bffff,IN.MH.MU,76.59783711
