poi_code,cost_for_two
0x3be795e4334ede9d:0xcf7f6e89eb75fadd,"₹1,400 for two"
0x3be71e8a884ff4cd:0xb1c58939f86e960d,"₹1,200 for two"
0x3be7cf6f740ba1ed:0xad94ccfc35ab8616,₹850 for two
0x3be79587531d8223:0xe7c4a3446ad0869d,₹700 for two
0x3be7b13affffffff:0x972a9ded0ed54132,"₹1,400 for two"
0x3be7b1b077570d1d:0x8f31dcb6caf94b1d,"₹1,400 for two"
0x3be7b0d9fb01218f:0x2fd9b8c7ff9193f4,₹950 for two
0x3be7953fd684d709:0x632d37f8576af9e2,
0x3be7b1f37a8be47f:0xcc77007f2ff5b001,"₹1,800 for two"
0x3be795b3e3f7046b:0x80371e1b6a6df5f5,"₹1,000 for two"
0x3be79488bdc9c967:0xdb0905f7ff0f8590,₹700 for two
0x3be7953b3568ad7f:0xf6e5fc2ee71d8a61,"₹1,700 for two"
0x3be7e9a52ad2ce87:0x8ee0330b08f157fb,"₹1,900 for two"
0x3be79460d32c2b47:0x7b5339920357ff2e,"₹1,200 for two"
0x3be7cedb77aaea29:0x77411cc8d480e12,₹500 for two
0x3be796847456cb03:0x65ccc3f2e49de55,"₹1,700 for two"
0x3be795e9e9155555:0xbc659a68e967ef73,"₹1,400 for two"
0x3be79332d7e684b5:0xd7c33de7b6963534,"₹1,800 for two"
0x3be7ced3cafcea71:0xc78f854e95a9209,₹950 for two
0x3be7b1acf93bc28d:0xe1b4fb151842c510,"₹1,400 for two"
0x3be7b14ef5fd632f:0x69cc5696f8229add,"₹2,000 for two"
0x3be7b1387bb21851:0x8817b82fe6cb92a5,₹800 for two
0x3be7b16da5e4b8b5:0xef4a28970af8f10a,"₹1,600 for two"
0x3be7a9276a0a84c9:0x3712b2aa54e51bbf,"₹1,100 for two"
0x3be7cede90689d99:0x4ee45aa1669d43d4,"₹1,800 for two"
0x3be7d1a1a34425bb:0xb6ff2ecd1f987fad,"₹1,400 for two"
0x3be7b153adf4dc5b:0x930bc1a164eb1e46,"₹1,400 for two"
0x3be7b1fa3b0a6cf7:0xd9e15ec7682bbe44,"₹2,000 for two"
0x3be7953cc80009e3:0xe1d6be18473c972e,"₹1,300 for two"
0x3be7b1e5db2fbadf:0xbd50802d40db9eb7,
0x3be7aed26eec200d:0x58871ff5016f2c4c,₹800 for two
0x3be7b3479e87c997:0x99224bf73730f563,"₹1,200 for two"
0x3be7b1fd6345453f:0x4970fa7aecd3709f,"₹1,600 for two"
0x3be7d1c323572785:0xf67c19526b8cc994,"₹1,500 for two"
0x3be7b07b5b90f2a5:0x6f42c2ea6fbb2c73,"₹1,600 for two"
0x3be7b17e4816a0ab:0x243b89c285a0f3e4,"₹1,200 for two"
0x3be7b1855ede5847:0xeb8afa5b4559095d,"₹1,600 for two"
0x3be7cedb15bab29f:0x11008c611d9ddbe0,"₹1,500 for two"
0x3be7a9f32b7dbf67:0xa922587c264bb1c6,"₹1,800 for two"
0x3be7cf76b2b15585:0xc00a0c1de7bd2695,"₹2,400 for two"
0x3be7936664ce3dc3:0x882beea7bf3c0826,"₹1,100 for two"
0x3be7b0d6e865f881:0x762ea942562816e4,"₹1,800 for two"
0x3be7d1da3a4f1573:0x6d6fec8cd5aab47a,"₹2,300 for two"
0x3be7b336d0850a71:0x57193d5c1568edf4,"₹1,200 for two"
0x3be7d1bf6d035773:0x14a275379c10ed68,"₹1,800 for two"
0x3be7b198483338f9:0x9da6436e8632d11c,"₹1,400 for two"
