feature,ks_statistic,ks_pvalue,shift_flagged,lab_mean,lab_std,unlab_mean,unlab_std,mean_diff_pct,mainstream_mean,mainstream_std,premium_mean,premium_std,super_premium_mean,super_premium_std
offerings__has_dancing,0.0472,0.3697,False,0.1146,0.3186,0.0675,0.2508,41.2,0.1159,0.32,0.1477,0.3548,0.0619,0.2409
prem_brands_x_hotel,0.0461,0.3985,False,1.639,8.1499,0.0066,0.405,99.6,0.0,0.0,0.0,0.0,6.9278,15.624
sb_premium_spirit,0.0413,0.5372,False,1.9463,0.2253,1.9877,0.1104,2.1,1.9207,0.2702,1.953,0.2116,1.9794,0.1421
negative_words,0.0292,0.9006,False,1.2732,1.7953,1.39,1.9163,9.2,1.6707,2.1923,0.8322,1.2553,1.2784,1.5843
michelin_star,0.0236,0.9828,False,0.0244,0.1543,0.0008,0.028,96.8,0.0,0.0,0.0268,0.1616,0.0619,0.2409
sb_menu_volume,0.0221,0.9918,False,1.9659,0.1816,1.9879,0.1092,1.1,1.9451,0.2277,1.9732,0.1616,1.9897,0.101
sb_neg_review,0.0213,0.9947,False,-2.1366,0.5045,-2.094,0.4232,2.0,-2.1463,0.5208,-2.0805,0.3932,-2.2062,0.6082
has_any_award,0.0144,1.0,False,0.0146,0.1201,0.0003,0.0162,98.2,0.0,0.0,0.0201,0.1405,0.0309,0.1731
feni_item_price_avg,0.0136,1.0,False,1207.2371,708.3301,1152.038,137.4955,4.6,1150.0854,62.7458,1233.75,1058.3411,1263.1386,619.5103
old_fashioned_item_count,0.0111,1.0,False,1.0512,1.0499,1.0018,0.0842,4.7,1.128,1.6348,1.0,0.1638,1.0,0.2872
feni_item_count,0.0101,1.0,False,1.061,0.866,1.0063,0.1713,5.2,1.0,0.0,1.0268,0.2577,1.2165,1.7423
highlights__has_karaoke_nights,0.0076,1.0,False,0.0244,0.1543,0.0168,0.1285,31.1,0.0244,0.1543,0.0268,0.1616,0.0206,0.1421
highlights__has_bar_games,0.0058,1.0,False,0.0171,0.1295,0.0113,0.1056,33.9,0.0122,0.1098,0.0134,0.1151,0.0309,0.1731
highlights__has_fast_service,0.0019,1.0,False,0.0024,0.0493,0.0005,0.0229,78.5,0.0,0.0,0.0,0.0,0.0103,0.101
